Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
Cheetah0x/AccountContract,0,0,0,0,2024-10-31,TypeScript,1
kaleababayneh/zkUni,0,0,0,0,2025-05-03,JavaScript,1
jinali98/zk-signature-verification-circuit,0,0,0,0,2025-07-06,Shell,1
PriviChainEx/monorepo,0,0,0,0,2024-05-02,Solidity,2
palutz/Noir_workshops,0,0,0,0,2024-04-16,Roff,1
zeropoolnetwork/sharded-storage-toy-model,0,1,0,3,2024-07-24,TypeScript,3
coderthroughout/KIRMADA,0,0,0,0,2025-07-13,Python,1
porco-rosso-j/repro-min_revertible_side_effect_counter-must-not-be-0,0,0,0,0,2025-03-15,TypeScript,1
oxlumi/intro-to-noir,0,0,0,0,2025-06-21,Solidity,1
daveminer/oauth-verify,0,0,0,0,2025-05-09,TypeScript,1
hardiktheprogrammer/dApp-on-aztec,0,0,0,0,2024-05-22,Roff,1
akonior/noir_example,0,0,2,2,2023-11-11,Roff,1
alexjaniak/zkMNIST-Noir,0,0,0,0,2023-10-06,Solidity,1
Muziris-Labs/fusion-circuits,0,0,0,0,2025-02-12,Solidity,1
michaelelliot/noir-bb-recursion,0,0,0,0,2025-04-08,Shell,1
hashcloak/zk-regex-tests-and-examples,0,1,2,5,2024-12-12,Noir,2
fabian416/ZeroBot,0,1,0,2,2025-06-22,Solidity,4
igorgabriel/whispr,0,0,3,7,2025-05-19,Dart,3
gabrielrondon/ghost_dev,0,0,1,8,2025-06-16,Rust,1
dndll/GhostFi,0,0,6,12,2023-12-20,Rust,2
critesjosh/aztec-vite-box-test,0,0,0,0,2024-11-22,TypeScript,1
mikirov/noir-hop-poc,0,0,3,3,2023-11-02,Solidity,1
madztheo/noir-date,0,1,0,1,2025-02-26,Noir,2
cypriansakwa/prove_weighted_threshold_compliance,0,0,0,0,2025-06-30,Solidity,1
hashcloak/noir-bigint-bench,0,0,1,5,2024-08-22,TypeScript,2
ClarifiedLabs/aztec-uint253,0,0,1,4,2025-03-06,Noir,2
jzaki/chess_validity,0,0,0,0,2024-11-19,Noir,1
emarc99/noir-js-app,0,0,0,0,2024-11-01,JavaScript,1
cypriansakwa/zero_knowledge_age_verification_using_Noir,0,0,0,0,2025-05-18,Noir,1
hashcloak/noir-bigint,0,0,0,4,2024-08-02,Roff,2
HaMMeRSI/ZKStuff,0,0,0,0,2023-12-02,TypeScript,1
reanblock/noir-zk-proof-demo,0,0,0,0,2025-05-14,Solidity,1
vdsilveira/ZK_Credentials,0,0,0,2,2025-05-18,TypeScript,1
nikkolasg/noir-hash,0,0,0,0,2021-04-30,Roff,1
yaioxy/simple_circuit,0,0,0,0,2025-06-18,Noir,1
masaun/ZK-mortgage-agreement-manager,0,0,0,22,2025-04-09,Solidity,1
adachi-440/aztec_sandbox,0,0,0,0,2023-09-20,Roff,1
gabrielfior/ng-questplay,0,0,0,0,2024-01-10,JavaScript,1
dbanks12/aztec-packages,0,0,0,0,2023-11-29,C++,77
moven0831/mopro-example-app-keccak256,0,0,0,0,2025-05-20,Kotlin,1
adnanhamidbeigh/zk-panagram,0,0,0,0,2025-06-24,Solidity,1
michaelelliot/noir_merkle_tree_poseidon2,0,0,0,0,2024-11-28,TypeScript,1
cypriansakwa/zkp_linear_check,0,0,0,0,2025-06-27,Solidity,1
zkVerify/tutorials,0,4,0,0,2025-07-11,TypeScript,1
intmax-identity/identity-circuits,0,0,0,0,2025-06-15,Noir,1
riagma/vanilla_v0.1,0,0,0,0,2025-07-12,JavaScript,1
CuriaLab/passport-attestation,0,0,0,0,2024-08-06,Solidity,1
hanzeG/zkp-benchmark,0,0,0,0,2024-10-16,TypeScript,1
LidiaCana/web3-contract-token,0,0,0,0,2024-05-05,Roff,1
KirstenPomales/memento-mori,0,0,0,7,2025-06-22,Solidity,2
alexghr/noir-wasm-browser-poc,0,1,1,1,2023-10-17,TypeScript,1
ClarifiedLabs/aztec-issue-9384,0,0,0,0,2024-10-25,TypeScript,1
Ty-HA/zkage-proof-mobile,0,0,0,0,2025-07-06,Dart,4
shreyas-londhe/noir-dense-vs-sparse-array,0,0,0,0,2025-02-07,Noir,1
critesjosh/sample-token-deploy,0,0,0,0,2024-06-27,Roff,1
daveminer/priv-pool,0,0,0,0,2025-04-05,TypeScript,1
Philogy/noirken,0,0,0,0,2023-10-03,TypeScript,1
superaprile/thesis,0,0,0,0,2024-12-06,Solidity,1
vibern0/circuit-breaker-mosaic,0,0,0,0,2024-02-14,TypeScript,1
Created-for-a-purpose/AbstraZ,0,0,0,0,2023-10-19,Solidity,2
Apocentre/noir-libs,0,0,0,3,2023-11-30,Roff,1
devarogundade/electron,0,0,0,0,2024-04-29,Solidity,1
revjob/revjob-contracts,0,0,0,0,2024-04-28,Solidity,1
peitalin/noir-zk-pathfinding,0,0,0,0,2025-02-01,Solidity,1
Turupawn/zkBenchmark,0,0,0,1,2025-01-27,Solidity,1
BigTava/noir-workshop,0,0,0,0,2025-03-15,Noir,1
rather-labs/private-voting-poc,0,0,0,0,2025-06-23,TypeScript,1
ExtropyIO/Cerebra,0,0,0,1,2025-05-09,TypeScript,1
armanthepythonguy/ZKP-Hype-ETHOnline,0,0,0,0,2024-08-16,Solidity,1
gitshreevatsa/BNB-Polyhedra,0,0,0,0,2024-03-03,Solidity,2
Shreya23-tech/truthify-compiler,0,0,0,0,2024-12-01,,1
marcelofeitoza/solana-noir-zk-bridge,0,0,0,0,2025-02-10,Rust,1
badgooooor/anon-discord,0,0,0,0,2024-12-09,TypeScript,1
mani99brar/9Key,0,0,0,1,2024-01-18,Solidity,2
WalletMesh/aztec-accounts,0,0,0,0,2025-03-18,HTML,1
AB7zz/noirjs-learn,0,0,0,0,2024-01-25,Solidity,1
hubarDevPersonal/ZK,0,0,0,0,2024-02-14,Solidity,1
jonybur/fuzzy-tester,0,0,0,0,2023-10-03,JavaScript,1
amit0365/asn1-parser-noir,0,0,0,0,2025-07-06,Noir,2
alexanderblv/aztec,0,0,0,0,2025-06-16,TypeScript,1
madztheo/noir-biguint-experiment,0,0,1,1,2024-06-24,Rust,1
alpinevm/dyn-sha256-noir,0,0,0,0,2024-06-21,Roff,1
ASaidOguz/Starknet-Contracts,0,0,0,0,2025-06-19,Cairo,1
zobront/aztec-rps,0,1,0,1,2023-10-14,Rust,2
LucasAschenbach/decent-rollup-noir,0,0,0,0,2023-12-18,Solidity,1
porco-rosso-j/aztec-packages-aztec-bb,0,0,0,2,2024-12-12,C++,109
masaun/ZK-travel-history-management-system,0,0,0,21,2025-06-09,Solidity,1
fruity-labs/proof-of-proximity,0,1,1,1,2023-07-08,Roff,1
NikolayKostadinov21/learning-hub,0,0,0,3,2024-07-30,Solidity,1
tisura-labs/circuits,0,0,0,0,2025-07-09,Noir,2
AFK-AlignedFamKernel/afk-ignite,0,1,0,5,2025-05-26,TypeScript,1
Mach-34/noir-conditional-ram-best-practices,0,0,0,0,2025-01-31,Noir,1
sh-tech-1/rwa-network,0,0,0,0,2024-10-07,Rust,1
SweetieBirdX/MZERO,0,0,0,0,2025-05-08,Noir,1
youtpout/pi-wallet,0,0,0,1,2024-05-02,Solidity,1
AshiqAhamed17/zk-noir,0,1,1,1,2025-07-05,Solidity,1
hashcloak/bench-noir-mpc-ml,0,0,0,1,2025-03-05,Python,1
Trivo25/noir-ethistanbul,0,0,0,0,2023-11-18,Roff,1
Ajitesh-jam/Digital-jam-Hackathon,0,0,0,0,2025-02-27,JavaScript,2
ara-foundation/web,0,1,0,0,2025-06-19,TypeScript,2
v3y51/had,0,0,0,0,2025-02-21,Noir,1
oguzhaangumuss/noir-script-runner,0,0,0,0,2025-06-08,TypeScript,1
ultralane/circuits,0,0,0,0,2024-03-15,Roff,1
swarnasn29/HexDeed,0,0,0,0,2024-04-29,Solidity,1
nullity00/demo-circ,0,2,0,0,2023-09-26,Solidity,1
qbitroot/otc-noirhack,0,0,0,0,2025-05-19,HTML,1
tony1908/zk-openbanking,0,0,0,0,2024-02-18,TypeScript,1
masaun/ZK-IP-packages-in-Noir,0,0,0,18,2025-06-16,Solidity,1
AnoyRC/Luna_CircuitBreaker,0,1,0,0,2024-02-17,Solidity,1
zac-williamson/noir-dependency-womp,0,0,0,0,2024-07-24,Roff,1
benjaminbollen/community-circles,0,0,0,0,2023-11-11,Roff,2
0xjimmy/risk-noir-prover,0,0,0,0,2024-05-03,Roff,1
